name,address,city,zipcode,winery_type,tasting_room,tasting_room_hours, ava
ST FRANCIS WINERY,500 PYTHIAN RD,SANTA ROSA,95409,Production/Tasting Room/Events,PUBLIC,10AM-6PM,Sonoma Valley
KAZ WINERY,233 ADOBE CANYON RD,KENWOOD,95452,Production/Tasting Room,PUBLIC,11AM-5PM,Sonoma Valley
LANDMARK VINEYARDS,101 ADOBE CANYON RD,KENWOOD,95452,Production/Tasting Room/Events,PUBLIC,10AM-5PM,Sonoma Valley
CHATEAU ST JEAN WINERY,843 ST JEAN CT,KENWOOD,95452,Production/Tasting Room/Events,PUBLIC,8AM-4:30PM,Sonoma Valley
KENWOOD VINEYARDS,9592 HWY 12,KENWOOD,95452,Production/Tasting Room,PUBLIC,8AM-5PM,Sonoma Valley
KUNDE ESTATE WINERY,9825 HWY 12,KENWOOD,95452,Production/Tasting Room/Events,PUBLIC,10AM-4:30PM,Sonoma Valley
PASSALACQUA THOMAS L TR,7915 HWY 12,SANTA ROSA,95409,Production/Tasting Room/Events,PUBLIC,,Sonoma Valley
MOONDANCE CELLARS,18970 OLIVE AVE,SONOMA,95476,Production Only,NONE,,Sonoma Valley
TANTALUS CELLARS,19320 ORANGE AVE,SONOMA,95476,Production Only,NONE,,Sonoma Valley
LUND BARBARA ANN TR,19321 ORANGE AVE,SONOMA,95476,Production Only,NONE,,Sonoma Valley
NEW BAVARIA BREWERY,19449 RIVERSIDE DR,SONOMA,95476,Production/Tasting Room,PUBLIC,1PM-9PM,Sonoma Valley
J BALDWIN WINES,2242 NELLIGAN RD,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
SPANN VINEYARDS,12900 MAPLE GLEN RD,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
LOOKOUT RIDGE WINERY,3875 TRINITY RD,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
INN MARTIN C S TR,4747 CAVEDALE RD GLE,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
MOUNTAIN TERRACES VINEYARD,2990 CAVEDALE RD,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
REPRIS WINES,1700 MOON MTN RD,SONOMA,95476,Production Only,NONE,,Sonoma Valley
MAYO FAMILY WINERY,13101 ARNOLD DR,GLEN ELLEN,95442,Production/Tasting Room/Events,PUBLIC,10AM-6:30PM,Sonoma Valley
LASSETER FAMILY WINERY,12200 VINTAGE LN,GLEN ELLEN,95442,Production/Tasting Room,PUBLIC,8AM-5PM,Sonoma Valley
VJB CELLARS,11600 DUNBAR RD,GLEN ELLEN,95442,Production/Tasting Room,PUBLIC,11AM-5PM,Sonoma Valley
LOXTON CELLARS,11466 DUNBAR RD,GLEN ELLEN,95442,Production/Tasting Room/Events,APPT ONLY,8AM-5PM,Sonoma Valley
EL NIDO LLC,11300 HWY 12,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
SMOTHERS WINES,1976 WARM SPRINGS RD,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
INTERCON VILLA HELENE LLC,4377 WARM SPRINGS RD,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
NAVILLUS BIRNEY WINERY & VINEYARDS,8327 SONOMA MTN RD,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Mountain
BENZIGER FAMILY WINES,1883 LONDON RANCH RD,GLEN ELLEN,95442,Production/Tasting Room/Events,PUBLIC,8AM-5PM,Sonoma Mountain
ERIC ROSS WINERY,14300 ARNOLD DR,GLEN ELLEN,95442,Tasting Room Only,PUBLIC,10AM-6PM,Sonoma Valley
WINE TASTING ROOM,14301 ARNOLD DR,GLEN ELLEN,95442,Tasting Room Only,PUBLIC,10AM-6PM,Sonoma Valley
ARROWOOD VINEYARDS AND WINERY,14347 HWY 12,GLEN ELLEN,95442,Production/Tasting Room,PUBLIC,10AM-4:30PM,Sonoma Valley
IMAGERY ESTATE WINERY,14335 HWY 12,GLEN ELLEN,95442,Production/Tasting Room/Events,PUBLIC,"10AM-4:30M-F,
 10AM-5:30SA-SU",Sonoma Valley
AHH WINERY,13470 MOUND AVE,GLEN ELLEN,95442,Production Only,NONE,,Sonoma Valley
NAVILLUS BIRNEY TASTING ROOM,13647 ARNOLD DR,GLEN ELLEN,95442,Tasting Room Only,PUBLIC,,Sonoma Valley
LAUREL GLEN TASTING ROOM,969 CARQUINEZ AVE,GLEN ELLEN,95442,Tasting Room Only,PUBLIC,10AM-5PM,Sonoma Valley
TALISMAN WINES TASTING ROOM,13651 ARNOLD DR,GLEN ELLEN,95442,Tasting Room Only,PUBLIC,10AM-6PM,Sonoma Valley
